City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
420,ampanihy,-24.7,44.75,74.7,85,58,2.59,MG,1613961407
421,wanaka,-44.7,169.15,75.99,33,100,5.99,NZ,1613961411
422,kachiry,53.0675,76.1036,-15.75,88,65,2.57,KZ,1613961413
423,bathsheba,13.2167,-59.5167,77.0,69,40,17.27,BB,1613961415
424,mingshui,36.7167,117.5,45.72,53,0,18.72,CN,1613961417
425,unguras,47.1167,24.05,30.2,100,90,2.3,RO,1613961419
426,lensk,60.7253,114.9278,-11.85,84,80,7.23,RU,1613961188
427,nadym,65.5333,72.5167,-33.18,83,91,7.9,RU,1613961423
428,iskateley,67.6803,53.1512,-12.41,90,99,7.11,RU,1613961426
429,lubango,-14.9172,13.4925,57.49,58,100,3.06,AO,1613961428
430,shimoda,34.6667,138.95,66.2,55,0,23.02,JP,1613961363
431,mundra,22.85,69.7333,73.45,37,0,9.46,IN,1613961432
432,pahrump,36.2083,-115.9839,55.99,21,0,2.53,US,1613961161
433,bandarbeyla,9.4942,50.8122,73.89,74,100,14.83,SO,1613961436
434,port hardy,50.6996,-127.4199,48.2,93,90,8.05,CA,1613961438
435,pasni,25.2631,63.471,71.2,41,0,6.11,PK,1613961440
436,linxia,35.6003,103.2064,42.15,50,100,1.63,CN,1613961443
437,tambopata,-12.7333,-69.1833,72.41,100,100,2.53,PE,1613961445
438,hualmay,-11.0964,-77.6139,70.09,79,96,8.48,PE,1613961449
439,rio gallegos,-51.6226,-69.2181,48.2,81,90,9.22,AR,1613961398
440,celestun,20.8667,-90.4,71.53,79,0,14.97,MX,1613961453
441,gizo,-8.103,156.8419,84.33,69,79,3.71,SB,1613961455
442,pangnirtung,66.1451,-65.7125,-4.77,62,54,1.52,CA,1613961457
443,mitsamiouli,-11.3847,43.2844,81.46,74,44,4.32,KM,1613961462
444,ma-ao,10.4923,122.992,79.2,85,100,1.48,PH,1613961464
445,marzuq,14.4,46.4667,58.42,71,0,1.21,YE,1613961468
446,vestmannaeyjar,63.4427,-20.2734,39.49,79,100,11.1,IS,1613961470
447,manbij,36.5281,37.9549,26.6,68,0,4.65,SY,1613961472
448,flin flon,54.7682,-101.865,32.04,98,100,12.03,CA,1613961474
449,rodnykove,45.043,33.9541,37.99,62,98,5.84,UA,1613961476
